id,time,label,comment
342,03:42,carlsen,and my King is perfectly safe
346,03:46,carlsen,he goes for f5 but seems bit overzealous
346,03:46,firouzja,little bit but it's not a big deal to
351,03:51,firouzja,"Rook e8, h4 I go g4 I think, and f3 rook"
352,03:52,carlsen,to me I go h4 he goes g4 maybe I
358,03:58,carlsen,don't achieve that much so I could go g4 as
402,04:02,carlsen,well
404,04:04,carlsen,if he goes F G maybe I'll go h4
406,04:06,firouzja,f6 bishop f5 knight g6 if he takes knight f4 okay
411,04:11,carlsen,yeah I'm just going to do that
414,04:14,firouzja,so what should I do here um okay
417,04:17,carlsen,no reason to be scared
421,04:21,carlsen,f4 as well
423,04:23,firouzja,rook f6 bishop f5 rook f7
424,04:24,carlsen,think I'm gonna go h4
429,04:29,carlsen,and my queen is protecting my king very
430,04:30,firouzja,"okay, lets go rook f6"
433,04:33,firouzja,bishop f5 rook f7 or knight g6 I got f4 takes...
434,04:34,carlsen,well so this move I don't like for him now
437,04:37,carlsen,I get Bishop e5 with tempo
438,04:38,firouzja,this is very complicated but I should go
439,04:39,carlsen,I'm going h4 next oh and I just
441,04:41,firouzja,for it because if he takes under f6 knight f4!
443,04:43,carlsen,missed this okay
446,04:46,carlsen,yeah that's why I never
449,04:49,carlsen,underestimates Alireza so he's
449,04:49,firouzja,"okay now it could take, this is very"
451,04:51,carlsen,devilishly tricky okay so he takes Hg
455,04:55,firouzja,dangerous rook h5 and I should go
457,04:57,carlsen,rook h5 I think I'm still doing
500,05:00,carlsen,pretty well I think he should probably
503,05:03,carlsen,have gone
503,05:03,carlsen,Rook e5 then knight e5 because then my
503,05:03,firouzja,for something my queen b4 and now I am down on
505,05:05,carlsen,queen would have been kicked away at the
506,05:06,firouzja,time that is the worst thing I'm
509,05:09,firouzja,threatening Queen f4 maybe but he might
511,05:11,carlsen,very least so I can go rook h1
513,05:13,firouzja,exchange the Queens by queen c3 I cannot
516,05:16,carlsen,yeah I probably don't have a whole lot
518,05:18,firouzja,"be worst here, ok let's go queen f4 now"
519,05:19,carlsen,hear still so okay let me just go b3
520,05:20,carlsen,protect my stuff
523,05:23,carlsen,Queen f4
524,05:24,firouzja,he's worse but because rook f5 queen g4 so he
526,05:26,carlsen,probably a very good move which I completely
529,05:29,carlsen,missed
529,05:29,firouzja,has to go Queen c3 and he is still
531,05:31,carlsen,huh
532,05:32,firouzja,hanging there um d4 Queen c4 so I
535,05:35,carlsen,I can not go Rook g4 because queen g4
537,05:37,firouzja,should take on g5 Queen g4 and it is not clear
540,05:40,carlsen,that's the that's the main issue here I
543,05:43,carlsen,can't go queen d4 no I can't go Queen
546,05:46,carlsen,d4 maybe I have Queen f5 actually
546,05:46,firouzja,okay okay we could do this I missed okay
551,05:51,firouzja,okay I have queen g5 now he blundered the rook
554,05:54,carlsen,"ah, he takes that rook"
554,05:54,firouzja,now it's lost
555,05:55,firouzja,okay he wants to flag me here rook e8 rook e4
556,05:56,carlsen,okay I'm gonna lose hoping for f4
601,06:01,carlsen,But I think he's just got way too
605,06:05,carlsen,much time here but I'm gonna try and
605,06:05,firouzja,king g7 yeah this is lost queen b7 yeah the
609,06:09,carlsen,flag him of course
612,06:12,carlsen,no chance here
615,06:15,carlsen,d3 rook d7 and I'm barely up on time
617,06:17,firouzja,I think I could win this
626,06:26,carlsen,and see if I can get him to stalemate
627,06:27,firouzja,I don't know why he's playing on
628,06:28,firouzja,"okay, this is mate"
639,06:39,carlsen,me here I'm assuming there's no chance
642,06:42,carlsen,okay yeah no chance yeah this is gonna
642,06:42,firouzja,okay he blundered queen f4
645,06:45,firouzja,which was very tricky of course it's not
647,06:47,firouzja,easy but he had Queen c3 so okay
648,06:48,carlsen,be tough rook f6!
651,06:51,firouzja,first name was good
652,06:52,carlsen,yeah I should have should have just
652,06:52,firouzja,so let's go if for those 95 okay place
655,06:55,carlsen,assumed he was going to to try and trick
658,06:58,carlsen,me they're not just believe that he
660,06:60,firouzja,down looking because g6 so I mean I have
701,07:01,carlsen,made a poor move he's too good for that
705,07:05,carlsen,okay so I'm going for the Alekhine
709,07:09,firouzja,a lot of option here should be to Castle
710,07:10,carlsen,trying once again to now well at least
714,07:14,firouzja,let's go see three let's play it slow
716,07:16,carlsen,in this game see if I can get a time
718,07:18,carlsen,advantage hold on
719,07:19,firouzja,how can i play this should've three if
720,07:20,carlsen,she's allowing c5 so I guess I should
723,07:23,carlsen,just go for that
726,07:26,carlsen,I think he's played to passively him
727,07:27,firouzja,it takes twenty four so it was 96
730,07:30,carlsen,probably CD Queen d4 I got 96 pcs six
740,07:40,carlsen,should have enough fix T of T is to
741,07:41,firouzja,I just take and go Quincy for orphanage
743,07:43,carlsen,compensate for the slightly worse
745,07:45,carlsen,structure if you've done Queenie five
745,07:45,firouzja,horrible finish for because if v if v is
747,07:47,carlsen,quindi five woulda got Knight d5 that I
751,07:51,carlsen,would have been perfectly fine um yeah
751,07:51,firouzja,the move proudly and takes on a five but
755,07:55,carlsen,you fine I guess
755,07:55,firouzja,it is much it should not be a big deal
757,07:57,carlsen,you
758,07:58,firouzja,like I took page 93 the stage I can
803,08:03,carlsen,bismuth Bishop g4 o f6 Bishop h6 yeah so
805,08:05,firouzja,write a three the five probably I got we
809,08:09,carlsen,you should just do this instead Bishop
809,08:09,firouzja,should be five not the root these seven
815,08:15,carlsen,g5 clever routine AIDS
815,08:15,firouzja,guys should be careful to not lose my
818,08:18,firouzja,bishop on g5 so I don't know how to play
821,08:21,carlsen,night c4i garbage base 6 I'm not worried
824,08:24,carlsen,about that
826,08:26,carlsen,you
826,08:26,firouzja,this yeah this is not good
832,08:32,firouzja,before we shall be to all right
836,08:36,carlsen,IOH 6:45 cd5 take which would be 6 takes
840,08:40,firouzja,should go back I should play a little
841,08:41,carlsen,takes and then I take on any two should
842,08:42,firouzja,faster but this is of course much force
844,08:44,carlsen,be it should be perfectly fine for me
845,08:45,firouzja,for me maybe not much worse spot of
848,08:48,carlsen,now I think I have got a 6 and then you
848,08:48,firouzja,coram for sure worse
851,08:51,firouzja,yeah I should exchange this it was from
853,08:53,carlsen,for take it cool bishops III but don't
855,08:55,firouzja,the eighth probably and then I believe
859,08:59,firouzja,on okay now I connect c4 and Ricky
901,09:01,carlsen,think that really really works let me
903,09:03,carlsen,just centralize the King rook the AIDS
903,09:03,firouzja,Vaughn for this sort of a disrupt one OK
909,09:09,carlsen,so he wants to go a 95 now
910,09:10,firouzja,ROCK d7i talking f1 or Bishop III maybe
917,09:17,firouzja,I don't know okay root B seven he has to
919,09:19,carlsen,[Music]
921,09:21,carlsen,it's coming
924,09:24,firouzja,play or kinky things in b6 f3 so root
925,09:25,carlsen,what should I do about that
927,09:27,firouzja,this seven protein the roti six
929,09:29,carlsen,okay try Ricky 695 47
932,09:32,firouzja,let's go we should be three it could
935,09:35,firouzja,take this nut will get around that
938,09:38,carlsen,he goes we should be three guys 47 gypsy
942,09:42,firouzja,should I go h4 now Bishop c5 let's just
944,09:44,carlsen,five maybe g5 trying to expand okay I'm
950,09:50,firouzja,put the bishop here he cannot really
954,09:54,firouzja,push here because they didn't weaken
956,09:56,firouzja,himself
957,09:57,firouzja,so it's interesting he exchanged the
1002,10:02,firouzja,bishop he wants so I might take and go
1003,10:03,carlsen,hesitating a bit too much now before I'm
1007,10:07,firouzja,f3 took the e7 yeah okay
1016,10:16,firouzja,III i th and rookies are 92 so I got at
1017,10:17,carlsen,probably going to rugby Salmond okay so
1021,10:21,carlsen,he goes for this one okay so I'll just
1022,10:22,firouzja,least $7 my mr. t7 mr. probably and
1029,10:29,firouzja,mature so king of to fight sector okay
1030,10:30,carlsen,go for King e7 I'm not loving the the
1036,10:36,carlsen,isolated pawn here but okay when I get
1040,10:40,carlsen,the chance I think I'm gonna I'm gonna
1040,10:40,firouzja,let's give a check and take this King
1043,10:43,carlsen,escape so I miss 95 but I don't think it
1043,10:43,firouzja,he's off on time so I should be careful
1046,10:46,carlsen,was a big deal
1048,10:48,carlsen,okay Knight of 6 I'm not just gonna try
1048,10:48,firouzja,give me three before is now it's
1050,10:50,carlsen,and try and make a Drona g5 push King d5
1055,10:55,firouzja,unpleasant but it was he got a four so
1056,10:56,carlsen,King D 3 I'm going f4 probably a little
1060,10:60,firouzja,95 yeah this is bad
1100,11:00,carlsen,bit better
1102,11:02,carlsen,Knight most I got I got a 4 followed by
1106,11:06,carlsen,95 continue to push
1109,11:09,firouzja,94 king of still probably go c5 now okay
1112,11:12,carlsen,can you for
1118,11:18,carlsen,I'm definitely whole lot better now
1120,11:20,carlsen,probably winning this is very annoying
1124,11:24,firouzja,b5 to expand takes not sure what GD 3
1129,11:29,carlsen,though takes a B and that is got 96 is
1133,11:33,firouzja,okay let's see takes takes I'm tricky 96
1136,11:36,carlsen,he really gonna escape on me this is
1138,11:38,firouzja,so he has to eat for and here I
1141,11:41,firouzja,could go h3 so let's say King 93 check
1144,11:44,carlsen,super annoying
1151,11:51,firouzja,Kingi 3ok 96 because a six I'd 197 okay
1200,12:00,carlsen,you can go 96 okay this is just gonna be
1207,12:07,firouzja,this is true okay was a good save I
1213,12:13,carlsen,a draw don't like it I feel like I was I
1213,12:13,firouzja,think I must worse
1214,12:14,firouzja,so it's one and a half half because it
1216,12:16,firouzja,played once before so okay it goes
1221,12:21,carlsen,was doing well in that game and I was
1221,12:21,firouzja,before it it changes the line slightly
1224,12:24,carlsen,probably a bit too hasty and trying to
1224,12:24,firouzja,five okay because we shall be five a-six
1227,12:27,carlsen,convert it you see what he's got in mind
1230,12:30,firouzja,night of six he goes 43 okay let's go me
1234,12:34,carlsen,here
1235,12:35,carlsen,I'll go d3 just try and play normal sort
1236,12:36,firouzja,555 let's see what you got here
1242,12:42,carlsen,of close Spanish position c3 now and
1243,12:43,firouzja,six goes for Bishop g5 so now if I go h6
1249,12:49,carlsen,yeah this is what Shakira did against me
1249,12:49,firouzja,is it gonna take
1251,12:51,carlsen,in the previous match but without the
1251,12:51,firouzja,no okay
1254,12:54,carlsen,pawn and beef island in that game I
1255,12:55,firouzja,let's copy should be see it to create -
1256,12:56,carlsen,think I ended up castling queenside and
1258,12:58,carlsen,my point is now that after he's actually
1302,13:02,carlsen,gonna be five and queenside castling is
1304,13:04,firouzja,how should I play this
1305,13:05,carlsen,less of an option so that should be
1307,13:07,carlsen,favorable for me I don't know if I'm
1308,13:08,firouzja,should I go ninety-seven and see what
1311,13:11,firouzja,happens
1311,13:11,firouzja,the idle connected Sun let's see if it
1313,13:13,carlsen,playing this to accurately Oh 97 that's
1314,13:14,firouzja,opens up the file it's interesting I got
1319,13:19,carlsen,very surprising I guess I'll take one
1320,13:20,firouzja,my teach for what okay
1322,13:22,carlsen,night h4
1325,13:25,carlsen,I don't think that was called for an
1326,13:26,carlsen,all-night g6 I did Queen h5 looks the
1326,13:26,firouzja,in this sermon cancel Queen she ate okay
1331,13:31,carlsen,looks very promising for me yeah Queen
1331,13:31,firouzja,let's go here it was carnage five I got
1334,13:34,firouzja,in b7s plate a strange way okay now I go
1337,13:37,carlsen,h5 now King T 7 yeah this is this is I
1342,13:42,firouzja,up in g8 by 125 so probably is going to
1349,13:49,carlsen,think not very good how to be precise
1350,13:50,firouzja,play g3 Quinn chief 522 and okay it's
1355,13:55,carlsen,though you can use got Queen g5 so
1358,13:58,carlsen,logical option is just to go g3 Queen g5
1360,13:60,firouzja,interesting position I cannot say with
1400,14:00,carlsen,drop the Queen back higher got anything
1401,14:01,firouzja,better I have a very solid center so I'm
1403,14:03,carlsen,better
1404,14:04,carlsen,Phil Knight a5 Queen g5 no I think I'm
1406,14:06,firouzja,not sure if I'm verse 25
1411,14:11,carlsen,just gonna go g3 drop the Queen your
1411,14:11,firouzja,okay I'm to go a five actually so just
1415,14:15,carlsen,tanks I take feel like I still got some
1416,14:16,firouzja,let's clear day Bishop jobs here if he
1418,14:18,carlsen,some pressure mmm
1419,14:19,firouzja,wants to take or not 9 f3 I go finish
1424,14:24,firouzja,five I think
1426,14:26,carlsen,yeah a knight of three may be intending
1426,14:26,firouzja,finish five some tactics may be so 26
1428,14:28,carlsen,d4 Queen g6 she anticipates that yes I'm
1431,14:31,firouzja,just bank before Queenie forest idea
1434,14:34,firouzja,always but he has to go differ anyway I
1438,14:38,firouzja,think no okay okay so once eg for
1441,14:41,carlsen,gonna try and be more clever good D for
1442,14:42,firouzja,negative three and I could suck the
1444,14:44,carlsen,now
1449,14:49,carlsen,I am going out of three and then CD
1449,14:49,firouzja,Queen there what a natural he's good
1453,14:53,carlsen,and then his filter Queen g6 let's check
1458,14:58,carlsen,on B if I was nothing special so
1458,14:58,firouzja,takes things c6 Queenie to I'm sure see
1500,15:00,carlsen,probably easy I gotta go CD was sort of
1505,15:05,carlsen,my backup option then Bishop t-49 of
1507,15:07,firouzja,65.5 not sure what to do here should I
1510,15:10,carlsen,three queen c5 maybe you can you can
1514,15:14,carlsen,make my work technically certainly
1519,15:19,firouzja,go
1520,15:20,firouzja,stay for I mean this amount of time here
1525,15:25,carlsen,thinking a lot now
1530,15:30,firouzja,[Music]
1532,15:32,firouzja,at that stage I might suck the Queen I
1534,15:34,carlsen,sure these are some of the things he's
1536,15:36,carlsen,considering yeah so okay I guess I
1539,15:39,firouzja,don't know they just took just to come
1543,15:43,carlsen,should tank the trip day for a night of
1546,15:46,carlsen,three Queen c5 I don't really see what
1546,15:46,firouzja,before okay
1547,15:47,carlsen,to do though I also been castle or take
1551,15:51,carlsen,the four but then I got a protectee for
1551,15:51,firouzja,Quincy five now I am I came down on time
1554,15:54,carlsen,as well
1556,15:56,carlsen,[Music]
1556,15:56,firouzja,what okay if I managed to get a good
1558,15:58,firouzja,position that stage before it's going to
1602,16:02,carlsen,now I think I'm just Castle fe3 and then
1605,16:05,carlsen,I got a square on I got a square on d4
1609,16:09,carlsen,as well
1610,16:10,carlsen,rusty one coming I think position is not
1611,16:11,firouzja,blend up see one Queen before according
1614,16:14,carlsen,going to be too easy for him to play so
1615,16:15,firouzja,to take is probably ninety four okay so
1618,16:18,carlsen,I take your Knight d4 I guess he's
1624,16:24,firouzja,I should go see five but now if you suck
1625,16:25,carlsen,probably gonna go c5 then I try and kick
1627,16:27,firouzja,something on e6 probably takes twenty
1629,16:29,carlsen,kick his queen with a 3 mm yeah rook if
1635,16:35,carlsen,6 is very tempting
1635,16:35,firouzja,four of six and that is made
1637,16:37,firouzja,yeah okay or even take here yeah and if
1638,16:38,carlsen,CD for Queen G for yes that's very good
1648,16:48,firouzja,I go to see eight I don't have time yeah
1653,16:53,firouzja,I go through one so I should go 22 I'm
1655,16:55,carlsen,it's going to be hard-pressed
1658,16:58,carlsen,defend us especially with so little time
1660,16:60,firouzja,very long time
1700,17:00,carlsen,and he tries to go for some counter play
1703,17:03,carlsen,but don't think it's gonna work out
1705,17:05,firouzja,so let's say Lucas is 7 because look if
1707,17:07,carlsen,could be wrong rook c7 threatens mates
1711,17:11,firouzja,- probably over here to page 7
1712,17:12,carlsen,on two squares
1715,17:15,carlsen,yeah Kingi Taurua Queenie - arica -
1717,17:17,carlsen,that's gonna be game over now this is
1717,17:17,firouzja,ok descendants mate ok yeah this was a
1720,17:20,carlsen,great
1720,17:20,firouzja,bad game by me I mean I had a good
1721,17:21,carlsen,okay even the score very important this
1723,17:23,firouzja,position but ok let's see if or it goes
1727,17:27,carlsen,is gonna be a rough match it's not gonna
1727,17:27,firouzja,night of 6 I will take all right let's
1731,17:31,carlsen,be easy at all so let me try it the
1733,17:33,carlsen,other kin again because I feel like
1734,17:34,carlsen,position I got was pretty good goes with
1734,17:34,firouzja,go Bishop d3 and so would you want let's
1740,17:40,carlsen,the bishop to a different Square this
1742,17:42,carlsen,time
1744,17:44,carlsen,but I'm not convinced by this either I
1744,17:44,firouzja,see what he's going to do
1746,17:46,firouzja,it's playing very fast so it should be a
1749,17:49,firouzja,bit faster I think so let's see 93 97
1752,17:52,carlsen,receive five takes I got night before
1756,17:56,carlsen,okay let me just go 97 play more or less
1756,17:56,firouzja,night of 3 you cannot go c5 okay you
1759,17:59,firouzja,don't spread c4 Knight d4 d5 ok we'll
1800,18:00,carlsen,normally yeah now we'll go see five when
1803,18:03,carlsen,I still have the chance
1804,18:04,firouzja,play this should play this so it's going
1811,18:11,firouzja,to take us to be shot so I have space
1812,18:12,carlsen,yeah you can do this but I'm late at
1814,18:14,firouzja,advantage so we will see you will see
1815,18:15,carlsen,least I'm getting this Bishop hey I can
1817,18:17,firouzja,[Music]
1819,18:19,carlsen,also go be five let me just go be five
1820,18:20,firouzja,Knight c3 it's going to take and one
1822,18:22,carlsen,actually there should be four I got nine
1826,18:26,carlsen,of six no d6 shenanigans if you move the
1827,18:27,firouzja,night p6 mean we shall be four maybe
1829,18:29,carlsen,bishop I got be ca3 I always have 93
1838,18:38,carlsen,okay let me plan out of six so it's
1840,18:40,firouzja,Scottie three takes I take on before
1844,18:44,firouzja,because we shall be five then I have
1845,18:45,carlsen,trying to be very tricky oh I missed
1847,18:47,firouzja,achieved worth if it goes 96 then I take
1849,18:49,carlsen,something
1850,18:50,carlsen,I thought about takes rookie for her
1851,18:51,firouzja,and Knight c3 or take and t6 maybe
1853,18:53,carlsen,than Bishop f5 that doesn't work you can
1856,18:56,carlsen,still you can just go ap immediately
1857,18:57,firouzja,probably that works let's see if it goes
1901,19:01,carlsen,okay so I got to do this instead 96 I
1902,19:02,firouzja,Bishop a5 or maybe it was just make
1905,19:05,firouzja,these six Alexa chord and play against
1907,19:07,carlsen,suppose takes 94 I don't I don't like it
1908,19:08,firouzja,those phones okay so what can I do here
1914,19:14,carlsen,too much but I didn't feel like I had a
1914,19:14,firouzja,I need a strong move so write C 3 P 4
1919,19:19,carlsen,lot of choice um obviously you got it
1923,19:23,carlsen,he's got a pretty fearsome set of the
1923,19:23,firouzja,but are able to block it 94
1926,19:26,carlsen,pawn something on d5 and c5 but
1930,19:30,firouzja,yeah this is strange
1933,19:33,carlsen,they can also be able to lose and I have
1933,19:33,firouzja,I mean Portugal Bishop g5 before we
1938,19:38,carlsen,a little bit of an initiative at the
1940,19:40,carlsen,moment so let's see if I can use that to
1946,19:46,firouzja,shall define at 66 takes 25 finish 8th
1947,19:47,carlsen,my advantage
1949,19:49,carlsen,privilege it almighty for decentralized
1952,19:52,carlsen,the night I know the b2 is hanging but I
1956,19:56,carlsen,don't think that's massively important
1956,19:56,firouzja,okay let's put this guy here for now
2001,20:01,carlsen,so you guys night a4 it's a bit
2001,20:01,firouzja,[Music]
2002,20:02,firouzja,maybe he comes to b6 or something Bishop
2005,20:05,carlsen,surprising
2005,20:05,carlsen,g6 now d6 Bishop e7 doesn't look too bad
2009,20:09,firouzja,g5 is very strong thread so he has to
2011,20:11,firouzja,take he cannot race though so let's go
2013,20:13,carlsen,not if not an a4 could be very much out
2015,20:15,firouzja,TC okay so we up to 550 X on f3
2016,20:16,carlsen,of play she goes da six I got this b6
2022,20:22,carlsen,should be fine so you're gonna you got
2022,20:22,firouzja,Quincy 1 let's do it not
2024,20:24,carlsen,two connected passers but I feel like
2027,20:27,carlsen,all of my pieces are doing pretty well
2030,20:30,carlsen,at the moment so I don't think this
2031,20:31,firouzja,with glute but you should've 321 of six
2032,20:32,carlsen,should be clear at all so did you miss
2034,20:34,carlsen,Bishop f3 or you're trying to trick me
2037,20:37,carlsen,so mama Bishop f3
2037,20:37,firouzja,G of three then I have those two pounds
2041,20:41,firouzja,which is very strong we will say now we
2043,20:43,carlsen,Quincy one that must be the point
2046,20:46,firouzja,also calculate and if coin see one
2048,20:48,carlsen,I don't think I am refute that
2051,20:51,firouzja,Bishop six I take I'm going to see 420
2053,20:53,firouzja,french g3 I mean it's fine I don't know
2057,20:57,carlsen,that's reading ring if it just lucked
2057,20:57,firouzja,with better but it is fine proudly so
2100,21:00,carlsen,into a good longer nice when it could be
2103,21:03,firouzja,let's see it because f6 then I go Bishop
2104,21:04,carlsen,three nights
2108,21:08,firouzja,which rattles I have time advantage here
2111,21:11,firouzja,so he takes Queen c1 because of six so
2116,21:16,carlsen,okay I got a play I gotta play faster so
2118,21:18,firouzja,now which ones that later should take
2120,21:20,firouzja,this fine to context okay
2121,21:21,carlsen,gif I'm gonna go 96 but I'm not I'm not
2124,21:24,firouzja,I miss this one so kind of in c4 26:56
2125,21:25,carlsen,liking it too much I'm hoping the fact
2133,21:33,firouzja,Queen a fourth okay I should take Queen
2139,21:39,carlsen,that his knight could still be some way
2142,21:42,firouzja,d2 421 from the Queen Devon okay wait
2143,21:43,carlsen,out of joining the game could swing the
2147,21:47,carlsen,the balance in my favor but yeah as I
2152,21:52,carlsen,said not liking it too much yeah so
2152,21:52,firouzja,this is Queen eight five videos let's
2155,21:55,firouzja,see can I bring anything to the game
2157,21:57,carlsen,queer 5 trying to keep his queen from
2201,22:01,firouzja,maybe three divine let's go
2203,22:03,carlsen,getting to defy which I could think
2204,22:04,carlsen,could have been pretty bad news for me
2206,22:06,carlsen,okay Queen King h8 obviously Queen a5 I
2211,22:11,carlsen,think
2211,22:11,firouzja,[Music]
2212,22:12,carlsen,d7 I go group d8 I also got g4
2215,22:15,firouzja,seven and twenty five let's see how he's
2217,22:17,carlsen,they're coming up yeah 25 quite sensibly
2221,22:21,firouzja,going to play this you have 37 so here
2224,22:24,carlsen,I don't have time to think
2224,22:24,firouzja,if it's hard to play I have to play b3
2229,22:29,firouzja,somewhere Cooney for Quincy six okay
2231,22:31,carlsen,aquinnah for wanna go G for next fuck I
2236,22:36,carlsen,have to create that kind of planet Queen
2238,22:38,carlsen,c7 okay I'm gonna
2241,22:41,carlsen,I shouldn't should not take you probably
2242,22:42,firouzja,let's go peace Regis to start with
2247,22:47,carlsen,this was just really bad
2247,22:47,firouzja,cookie 655 okay six
2249,22:49,carlsen,okay trying to prevent nuts see if I
2252,22:52,carlsen,were to released now I think my position
2255,22:55,carlsen,is sort of okay but I'm losing on time
2255,22:55,firouzja,check okay I take the real kind sweet
2259,22:59,carlsen,that's okay yeah still there might be
2301,23:01,carlsen,six Brooke f6 sort of mmm I'm listing
2315,23:15,firouzja,okay but once I quit very good there so
2316,23:16,carlsen,time that's problem yeah okay decision
2318,23:18,firouzja,it's not about time witches I think we
2321,23:21,firouzja,should be five in seven was Daniels so
2322,23:22,carlsen,got too too complicated not good
2325,23:25,firouzja,[Music]
2326,23:26,firouzja,before I go if I if I say anything might
2327,23:27,carlsen,let me try this again feels like a
2332,23:32,carlsen,decent enough trace against him okay so
2332,23:32,firouzja,have three nights these things should be
2334,23:34,firouzja,five
2335,23:35,firouzja,let's go a six but I have to change
2339,23:39,firouzja,something here let's put these things so
2345,23:45,firouzja,c3 g6 let's play this way Castle I mean
2348,23:48,carlsen,he goes he goes for a different system
2351,23:51,carlsen,now guess I'm just gonna play it pretty
2353,23:53,firouzja,I could could be five I thought when I
2357,23:57,firouzja,teach five let's go be 57 first start
2359,23:59,carlsen,slowly
2404,24:04,firouzja,and create I might try some 94 so if K
2407,24:07,carlsen,okay nine of one so he's going for this
2413,24:13,carlsen,plan she wants to go maybe your 94 I'll
2416,24:16,firouzja,night if
2417,24:17,firouzja,exchange a lot of pieces and I'm not
2419,24:19,carlsen,make sure anyway
2422,24:22,firouzja,sure let's go for it
2423,24:23,firouzja,I don't know so let's say we shove this
2424,24:24,carlsen,preventing night h5 so actually getting
2427,24:27,carlsen,f5 is a bit more difficult friend okay
2427,24:27,firouzja,793 queen of 397 I'm going to try to
2431,24:31,carlsen,so I could take or so I could go CD yeah
2432,24:32,firouzja,push a 5 like so I don't think ok taste
2438,24:38,firouzja,this way
2438,24:38,firouzja,I'd like to under cut Bishop III I mean
2439,24:39,carlsen,I'm just go seeking feels feels a bit
2446,24:46,carlsen,easier to play
2449,24:49,firouzja,it's very hard to say push-ups the six
2456,24:56,carlsen,Bishop d7 on probably oh I'm just
2457,24:57,firouzja,take only five ninety 44 you know this
2500,25:00,carlsen,completely blind what am I even doing
2503,25:03,carlsen,I'm just completely missing that I got
2506,25:06,carlsen,the threat of CD and ambushed by three
2507,25:07,firouzja,is not good Alki play you should be fine
2509,25:09,carlsen,winning the exchange
